amendment,bill,chamber,congress,date,description,member_id,position,question,result,roll_call,session,time,total,vote_uri,bill_id,sponsor_id,bill_uri
{},"{u'title': u'To authorize financial assistance to eligible automobile manufacturers, and for other purposes.', u'number': u'H R 7321', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr7321.json', u'latest_action': u'Received in the Senate.', u'sponsor_id': u'F000339', u'bill_id': u'hr7321-110'}",House,110,2008-12-10,Auto Industry Financing and Restructuring Act,P000555,Not Voting,On Passage,Passed,690,2,20:46:00,"{u'not_voting': 26, u'yes': 237, u'present': 1, u'no': 170}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/690.json,hr7321,F000339,https://api.propublica.org/congress/v1/110/bills/hr7321.json
{},"{u'title': u'To authorize financial assistance to eligible automobile manufacturers, and for other purposes.', u'number': u'H R 7321', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr7321.json', u'latest_action': u'Received in the Senate.', u'sponsor_id': u'F000339', u'bill_id': u'hr7321-110'}",House,110,2008-12-10,LaTourette of Ohio Amendment,P000555,Not Voting,On Agreeing to the Amendment,Agreed to,689,2,20:27:00,"{u'not_voting': 29, u'yes': 403, u'present': 1, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/689.json,hr7321,F000339,https://api.propublica.org/congress/v1/110/bills/hr7321.json
{},"{u'title': u'Providing for consideration of the bill (H.R. 7321) to authorize financial assistance to eligible automobile manufacturers, and for other purposes.', u'number': u'H RES 1534', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1534.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 225 - 179, 1 Present (Roll no. 688).', u'sponsor_id': u'S000480', u'bill_id': u'hres1534-110'}",House,110,2008-12-10,"Providing for consideration of H.R. 7321, to authorize financial assistance to eligible automobile manufacturers, and for other purposes",P000555,Not Voting,On Agreeing to the Resolution,Passed,688,2,18:12:00,"{u'not_voting': 28, u'yes': 225, u'present': 1, u'no': 179}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/688.json,hres1534,S000480,https://api.propublica.org/congress/v1/110/bills/hres1534.json
{},"{u'title': u'Providing for consideration of the bill (H.R. 7321) to authorize financial assistance to eligible automobile manufacturers, and for other purposes.', u'number': u'H RES 1534', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1534.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 225 - 179, 1 Present (Roll no. 688).', u'sponsor_id': u'S000480', u'bill_id': u'hres1534-110'}",House,110,2008-12-10,"Providing for consideration of H.R. 7321, to authorize financial assistance to eligible automobile manufacturers, and for other purposes",P000555,Not Voting,On Ordering the Previous Question,Passed,687,2,17:53:00,"{u'not_voting': 27, u'yes': 225, u'present': 1, u'no': 180}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/687.json,hres1534,S000480,https://api.propublica.org/congress/v1/110/bills/hres1534.json
{},"{u'api_uri': None, u'title': None, u'number': u'JOURNAL', u'bill_id': u'journal-110', u'latest_action': None}",House,110,2008-12-10,,P000555,Not Voting,On Approving the Journal,Passed,686,2,16:11:00,"{u'not_voting': 47, u'yes': 215, u'present': 1, u'no': 170}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/686.json,journal,NA,NA
{},"{u'title': u'Waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 1533', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1533.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 226 - 169 (Roll no. 685).', u'sponsor_id': u'S000480', u'bill_id': u'hres1533-110'}",House,110,2008-12-10,Waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,P000555,Not Voting,On Agreeing to the Resolution,Passed,685,2,15:57:00,"{u'not_voting': 38, u'yes': 226, u'present': 0, u'no': 169}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/685.json,hres1533,S000480,https://api.propublica.org/congress/v1/110/bills/hres1533.json
{},"{u'title': u'Waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules.', u'number': u'H RES 1533', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1533.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 226 - 169 (Roll no. 685).', u'sponsor_id': u'S000480', u'bill_id': u'hres1533-110'}",House,110,2008-12-10,Waiving a requirement of clause 6(a) of Rule XIII with respect to consideration of certain resolutions reported from the Committee on Rules,P000555,Not Voting,On Ordering the Previous Question,Passed,684,2,15:47:00,"{u'not_voting': 35, u'yes': 224, u'present': 0, u'no': 174}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/684.json,hres1533,S000480,https://api.propublica.org/congress/v1/110/bills/hres1533.json
{},"{u'title': u'To provide for additional emergency unemployment compensation.', u'number': u'H R 6867', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr6867.json', u'latest_action': u'Became Public Law No: 110-449', u'sponsor_id': u'M000404', u'bill_id': u'hr6867-110'}",House,110,2008-10-03,To provide for additional emergency unemployment compensation.,P000555,Yes,"On Motion to Suspend the Rules and Pass, as Amended",Passed,683,2,14:41:00,"{u'not_voting': 38, u'yes': 368, u'present': 0, u'no': 28}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/683.json,hr6867,M000404,https://api.propublica.org/congress/v1/110/bills/hr6867.json
{},"{u'title': u'A bill to amend title 11, United States Code, to exempt for a limited period, from the application of the means-test presumption of abuse under chapter 7, qualifying members of reserve components of the Armed Forces and members of the National Guard who, after September 11, 2001, are called to active duty or to perform a homeland defense activity for not less than 90 days.', u'number': u'S 3197', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s3197.json', u'latest_action': u'Became Public Law No: 110-438', u'sponsor_id': u'D000563', u'bill_id': u's3197-110'}",House,110,2008-10-03,National Guard and Reservists Debt Relief Act,P000555,Yes,On Motion to Suspend the Rules and Pass,Passed,682,2,13:29:00,"{u'not_voting': 22, u'yes': 411, u'present': 0, u'no': 0}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/682.json,s3197,D000563,https://api.propublica.org/congress/v1/110/bills/s3197.json
{},"{u'title': u'A bill to provide authority for the Federal Government to purchase and insure certain types of troubled assets for the purposes of providing stability to and preventing disruption in the economy and financial system and protecting taxpayers, to amend the Internal Revenue Code of 1986 to provide incentives for energy production and conservation, to extend certain expiring provisions, to provide individual income tax relief, and for other purposes.', u'number': u'H R 1424', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr1424.json', u'latest_action': u'Became Public Law No: 110-343', u'sponsor_id': u'K000113', u'bill_id': u'hr1424-110'}",House,110,2008-10-03,Emergency Economic Stabilization Act of 2008,P000555,Yes,On Motion to Concur in Senate Amendments,Passed,681,2,13:22:00,"{u'not_voting': 0, u'yes': 263, u'present': 0, u'no': 171}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/681.json,hr1424,K000113,https://api.propublica.org/congress/v1/110/bills/hr1424.json
{},"{u'title': u'Providing for consideration of the Senate amendments to the bill (H.R. 1424) to amend section 712 of the Employee Retirement Income Security Act of 1974, section 2705 of the Public Health Service Act, section 9812 of the Internal Revenue Code of 1986 to require equity in the provision of mental health and substance-related disorder benefits under group health plans, to prohibit discrimination on the basis of genetic information with respect to health insurance and employment, and for other purposes.', u'number': u'H RES 1525', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1525.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 223 - 205 (Roll no. 680).', u'sponsor_id': u'S000480', u'bill_id': u'hres1525-110'}",House,110,2008-10-03,"Providing for consideration of the Senate amendments to H.R. 1424, Emergency Economic Stabilization Act of 2008.",P000555,No,On Agreeing to the Resolution,Passed,680,2,10:34:00,"{u'not_voting': 5, u'yes': 223, u'present': 0, u'no': 205}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/680.json,hres1525,S000480,https://api.propublica.org/congress/v1/110/bills/hres1525.json
{},"{u'title': u'Providing for consideration of the Senate amendments to the bill (H.R. 1424) to amend section 712 of the Employee Retirement Income Security Act of 1974, section 2705 of the Public Health Service Act, section 9812 of the Internal Revenue Code of 1986 to require equity in the provision of mental health and substance-related disorder benefits under group health plans, to prohibit discrimination on the basis of genetic information with respect to health insurance and employment, and for other purposes.', u'number': u'H RES 1525', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1525.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by the Yeas and Nays: 223 - 205 (Roll no. 680).', u'sponsor_id': u'S000480', u'bill_id': u'hres1525-110'}",House,110,2008-10-03,"Providing for consideration of the Senate amendments to H.R. 1424, Emergency Economic Stabilization Act of 2008.",P000555,Yes,On Ordering the Previous Question,Passed,679,2,10:25:00,"{u'not_voting': 8, u'yes': 235, u'present': 0, u'no': 190}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/679.json,hres1525,S000480,https://api.propublica.org/congress/v1/110/bills/hres1525.json
{},"{u'title': u'To amend the McKinney-Vento Homeless Assistance Act to reauthorize the Act, and for other purposes.', u'number': u'H R 7221', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr7221.json', u'latest_action': u'Received in the Senate.', u'sponsor_id': u'M001160', u'bill_id': u'hr7221-110'}",House,110,2008-10-02,Homeless Emergency Assistance and Rapid Transition to Housing Act,P000555,Not Voting,"On Motion to Suspend the Rules and Pass, as Amended",Passed,678,2,17:44:00,"{u'not_voting': 17, u'yes': 355, u'present': 0, u'no': 61}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/678.json,hr7221,M001160,https://api.propublica.org/congress/v1/110/bills/hr7221.json
{},"{u'title': u'A bill to authorize funding for the National Crime Victim Law Institute to provide support for victims of crime under Crime Victims Legal Assistance Programs as a part of the Victims of Crime Act of 1984.', u'number': u'S 3641', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s3641.json', u'latest_action': u'Became Public Law No: 110-431', u'sponsor_id': u'K000352', u'bill_id': u's3641-110'}",House,110,2008-10-02,To authorize funding for the National Crime Victim Law Institute to provide support for victims of crime under Crime Victims Legal Assistance Programs as a part of the Victims of ...,P000555,Not Voting,Table Motion to Reconsider,Passed,677,2,17:36:00,"{u'not_voting': 23, u'yes': 295, u'present': 0, u'no': 115}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/677.json,s3641,K000352,https://api.propublica.org/congress/v1/110/bills/s3641.json
{},"{u'title': u'A bill to authorize funding for the National Crime Victim Law Institute to provide support for victims of crime under Crime Victims Legal Assistance Programs as a part of the Victims of Crime Act of 1984.', u'number': u'S 3641', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/s3641.json', u'latest_action': u'Became Public Law No: 110-431', u'sponsor_id': u'K000352', u'bill_id': u's3641-110'}",House,110,2008-10-02,To authorize funding for the National Crime Victim Law Institute to provide support for victims of crime under Crime Victims Legal Assistance Programs as a part of the Victims of ...,P000555,Not Voting,On Motion to Suspend the Rules and Pass,Passed,676,2,17:27:00,"{u'not_voting': 21, u'yes': 410, u'present': 0, u'no': 2}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/676.json,s3641,K000352,https://api.propublica.org/congress/v1/110/bills/s3641.json
{},"{u'title': u'To amend the Small Business Act to improve the section 7(a) lending program, and for other purposes.', u'number': u'H R 7175', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr7175.json', u'latest_action': u'Received in the Senate.', u'sponsor_id': u'V000081', u'bill_id': u'hr7175-110'}",House,110,2008-09-29,Small Business Financing Improvements Act of 2008,P000555,Yes,On Motion to Suspend the Rules and Pass,Passed,675,2,14:17:00,"{u'not_voting': 53, u'yes': 374, u'present': 0, u'no': 6}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/675.json,hr7175,V000081,https://api.propublica.org/congress/v1/110/bills/hr7175.json
{},"{u'title': u'An Act to amend the Internal Revenue Code of 1986 to provide tax relief and protections for military personnel, and for other purposes.', u'number': u'H R 3997', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hr3997.json', u'latest_action': u'Resolving differences -- House actions. Status: On motion that the House agree to the Senate amendment to the House amendment to the Senate amendment Failed by recorded vote: 205 - 228 (Roll No. 674).Note: On 9/29/2008, H.R.3997 failed passage as the original House vehicle for the Emergency Economic Stabilization Act of 2008. For further action on the economic rescue legislation, see H.R.1424.', u'sponsor_id': u'R000053', u'bill_id': u'hr3997-110'}",House,110,2008-09-29,"To amend the Internal Revenue Code of 1986 to provide earnings assistance and tax relief to members of the uniformed services, volunteer firefighters, and Peace Corps volunteers, and for other ...",P000555,Yes,On Concurring in Senate Amendment With An Amendment,Failed,674,2,14:07:00,"{u'not_voting': 1, u'yes': 205, u'present': 0, u'no': 228}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/674.json,hr3997,R000053,https://api.propublica.org/congress/v1/110/bills/hr3997.json
{},"{u'api_uri': None, u'title': None, u'number': u'ADJOURN', u'bill_id': u'adjourn-110', u'latest_action': None}",House,110,2008-09-29,,P000555,Not Voting,On Motion to Adjourn,Failed,673,2,09:26:00,"{u'not_voting': 31, u'yes': 8, u'present': 0, u'no': 394}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/673.json,adjourn,NA,NA
{},"{u'title': u'Providing for an adjournment or recess of the two Houses.', u'number': u'H CON RES 440', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hconres440.json', u'latest_action': u'Resolving differences -- House actions. Status: On motion that the House agree to the Senate amendments Agreed to without objection.', u'sponsor_id': u'', u'bill_id': u'hconres440-110'}",House,110,2008-09-29,Providing for an adjournment or recess of the two Houses.,P000555,Not Voting,On Agreeing to the Resolution,Passed,672,2,09:05:00,"{u'not_voting': 10, u'yes': 213, u'present': 0, u'no': 211}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/672.json,hconres440,,https://api.propublica.org/congress/v1/110/bills/hconres440.json
{},"{u'title': u'Providing for consideration of the Senate amendment to the bill (H.R. 3997) to amend the Internal Revenue Code of 1986 to provide earnings assistance and tax relief to members of the uniformed services, volunteer firefighters, and Peace Corps volunteers, and for other purposes.', u'number': u'H RES 1517', u'bill_uri': u'https://api.propublica.org/congress/v1/110/bills/hres1517.json', u'latest_action': u'Passed/agreed to in House. Status: On agreeing to the resolution Agreed to by recorded vote: 220 - 198 (Roll no. 671).', u'sponsor_id': u'S000480', u'bill_id': u'hres1517-110'}",House,110,2008-09-29,"Rule providing for consideration of the Senate amendment to the House amendment to the Senate amendment to H.R. 3997, the Emergency Economic Stabilization Act of 2008.",P000555,Not Voting,On Agreeing to the Resolution,Passed,671,2,08:45:00,"{u'not_voting': 15, u'yes': 220, u'present': 0, u'no': 198}",https://api.propublica.org/congress/v1/110/house/sessions/2/votes/671.json,hres1517,S000480,https://api.propublica.org/congress/v1/110/bills/hres1517.json
